ÈÕÆÚ,PRICE
2015/4/16 9:45,2387.489258
2015/4/16 10:15,2383.365479
2015/4/16 10:45,2388.100098
2015/4/16 11:15,2412.537109
2015/4/16 13:15,2453.316406
2015/4/16 13:45,2439.112305
2015/4/16 14:15,2417.118896
2015/4/16 14:45,2449.192383
2015/4/16 15:15,2507.688477
2015/4/17 9:45,2526.321533
2015/4/17 10:15,2524.18335
2015/4/17 10:45,2490.429932
2015/4/17 11:15,2510.4375
2015/4/17 13:15,2492.873535
2015/4/17 13:45,2485.695313
2015/4/17 14:15,2503.411865
2015/4/17 14:45,2524.641602
2015/4/17 15:15,2484.931641
2015/4/20 9:45,2511.506836
2015/4/20 10:15,2494.706299
2015/4/20 10:45,2506.008545
2015/4/20 11:15,2514.561279
2015/4/20 13:15,2522.045166
2015/4/20 13:45,2482.793213
2015/4/20 14:15,2453.468994
2015/4/20 14:45,2430.101074
2015/4/20 15:15,2403.067871
2015/4/21 9:45,2433.30835
2015/4/21 10:15,2420.937256
2015/4/21 10:45,2432.239502
2015/4/21 11:15,2447.512451
2015/4/21 13:15,2446.290527
2015/4/21 13:45,2445.83252
2015/4/21 14:15,2438.043213
2015/4/21 14:45,2450.414307
2015/4/21 15:15,2469.658447
2015/4/22 9:45,2468.894775
2015/4/22 10:15,2484.473389
2015/4/22 10:45,2484.167969
2015/4/22 11:15,2495.469971
2015/4/22 13:15,2499.135498
2015/4/22 13:45,2503.870117
2015/4/22 14:15,2507.230225
2015/4/22 14:45,2536.096436
2015/4/22 15:15,2526.168945
2015/4/23 9:45,2530.750732
2015/4/23 10:15,2533.80542
2015/4/23 10:45,2509.21582
2015/4/23 11:15,2516.241455
2015/4/23 13:15,2530.750732
2015/4/23 13:45,2526.932617
2015/4/23 14:15,2492.415527
2015/4/23 14:45,2494.095459
2015/4/23 15:15,2495.469971
2015/4/24 9:45,2489.66626
2015/4/24 10:15,2482.487793
2015/4/24 10:45,2481.571533
2015/4/24 11:15,2447.970703
2015/4/24 13:15,2424.602783
2015/4/24 13:45,2442.166992
2015/4/24 14:15,2455.912598
2015/4/24 14:45,2481.265869
2015/4/24 15:15,2468.894775
2015/4/27 9:45,2511.659424
2015/4/27 10:15,2526.627197
2015/4/27 10:45,2518.227051
2015/4/27 11:15,2510.743164
2015/4/27 13:15,2527.390869
2015/4/27 13:45,2521.434326
2015/4/27 14:15,2529.987061
2015/4/27 14:45,2537.318359
2015/4/27 15:15,2564.046143
2015/4/28 9:45,2528.001709
2015/4/28 10:15,2513.797852
